Date,Month,Year,NAV,Amount_Invested,Units_Bought,,Date,occurances,total units,Avg_Units_Per_Occurrence
29,9,2022,49.7331,1000,20.1073,,,,,
30,9,2022,49.892,1000,20.0433,,,,,
3,10,2022,49.6832,1000,20.1275,,,,,
4,10,2022,50.5757,1000,19.7723,,,,,
6,10,2022,51.2132,1000,19.5262,,,,,
7,10,2022,51.2764,1000,19.5021,,,,,
10,10,2022,50.6906,1000,19.7275,,,,,
11,10,2022,50.2449,1000,19.9025,,,,,
12,10,2022,50.4695,1000,19.8139,,,,,
13,10,2022,50.4082,1000,19.838,,,,,
14,10,2022,50.7986,1000,19.6856,,,,,
17,10,2022,50.6426,1000,19.7462,,,,,
18,10,2022,51.3218,1000,19.4849,,,,,
19,10,2022,51.5791,1000,19.3877,,,,,
20,10,2022,51.4843,1000,19.4234,,,,,
21,10,2022,51.5748,1000,19.3893,,,,,
25,10,2022,52.2518,1000,19.1381,,,,,
27,10,2022,52.1107,1000,19.1899,,,,,
28,10,2022,51.5216,1000,19.4093,,,,,
31,10,2022,51.9464,1000,19.2506,,,,,
1,11,2022,51.9849,1000,19.2364,,,,,
2,11,2022,51.7054,1000,19.3403,,,,,
3,11,2022,51.3125,1000,19.4884,,,,,
4,11,2022,50.9681,1000,19.6201,,,,,
7,11,2022,51.4519,1000,19.4356,,,,,
9,11,2022,51.7279,1000,19.3319,,,,,
10,11,2022,51.2877,1000,19.4979,,,,,
11,11,2022,52.2551,1000,19.1369,,,,,
14,11,2022,52.3423,1000,19.105,,,,,
15,11,2022,52.3847,1000,19.0895,,,,,
16,11,2022,52.5302,1000,19.0367,,,,,
17,11,2022,52.3356,1000,19.1075,,,,,
18,11,2022,52.1584,1000,19.1724,,,,,
21,11,2022,52.0208,1000,19.2231,,,,,
22,11,2022,51.9944,1000,19.2328,,,,,
23,11,2022,52.054,1000,19.2108,,,,,
24,11,2022,52.4977,1000,19.0485,,,,,
25,11,2022,52.5193,1000,19.0406,,,,,
28,11,2022,52.5076,1000,19.0449,,,,,
29,11,2022,52.2731,1000,19.1303,,,,,
30,11,2022,52.5166,1000,19.0416,,,,,
1,12,2022,53.0001,1000,18.8679,,,,,
2,12,2022,52.8816,1000,18.9102,,,,,
5,12,2022,52.8884,1000,18.9077,,,,,
6,12,2022,52.6323,1000,18.9997,,,,,
7,12,2022,52.236,1000,19.1439,,,,,
8,12,2022,52.2439,1000,19.141,,,,,
9,12,2022,52.0462,1000,19.2137,,,,,
12,12,2022,52.0796,1000,19.2014,,,,,
13,12,2022,52.4048,1000,19.0822,,,,,
14,12,2022,52.7428,1000,18.9599,,,,,
15,12,2022,52.3737,1000,19.0936,,,,,
16,12,2022,51.7298,1000,19.3312,,,,,
19,12,2022,52.0402,1000,19.2159,,,,,
20,12,2022,51.8258,1000,19.2954,,,,,
21,12,2022,51.5514,1000,19.3981,,,,,
22,12,2022,51.4078,1000,19.4523,,,,,
23,12,2022,50.3658,1000,19.8547,,,,,
26,12,2022,50.9555,1000,19.625,,,,,
27,12,2022,51.1004,1000,19.5693,,,,,
28,12,2022,51.006,1000,19.6055,,,,,
29,12,2022,51.0117,1000,19.6033,,,,,
30,12,2022,51.0328,1000,19.5952,,,,,
2,1,2023,51.0882,1000,19.574,,,,,
3,1,2023,51.2259,1000,19.5214,,,,,
4,1,2023,51.031,1000,19.5959,,,,,
5,1,2023,50.919,1000,19.639,,,,,
6,1,2023,50.5032,1000,19.8007,,,,,
9,1,2023,51.0789,1000,19.5776,,,,,
10,1,2023,50.9772,1000,19.6166,,,,,
11,1,2023,50.9837,1000,19.6141,,,,,
12,1,2023,51.3246,1000,19.4838,,,,,
13,1,2023,51.6212,1000,19.3719,,,,,
16,1,2023,51.5313,1000,19.4057,,,,,
17,1,2023,51.6338,1000,19.3672,,,,,
18,1,2023,51.75,1000,19.3237,,,,,
19,1,2023,51.7515,1000,19.3231,,,,,
20,1,2023,51.731,1000,19.3308,,,,,
23,1,2023,52.4271,1000,19.0741,,,,,
24,1,2023,52.5474,1000,19.0304,,,,,
25,1,2023,51.9664,1000,19.2432,,,,,
27,1,2023,51.856,1000,19.2842,,,,,
30,1,2023,52.0371,1000,19.2171,,,,,
31,1,2023,51.969,1000,19.2422,,,,,
1,2,2023,52.3241,1000,19.1117,,,,,
2,2,2023,52.5869,1000,19.0161,,,,,
3,2,2023,53.6078,1000,18.654,,,,,
6,2,2023,53.2821,1000,18.768,,,,,
7,2,2023,53.0658,1000,18.8445,,,,,
8,2,2023,53.4666,1000,18.7033,,,,,
9,2,2023,52.9848,1000,18.8733,,,,,
10,2,2023,52.6782,1000,18.9832,,,,,
13,2,2023,52.4751,1000,19.0567,,,,,
14,2,2023,52.8227,1000,18.9313,,,,,
15,2,2023,52.8794,1000,18.911,,,,,
16,2,2023,53.0012,1000,18.8675,,,,,
17,2,2023,52.7128,1000,18.9707,,,,,
20,2,2023,52.5665,1000,19.0235,,,,,
21,2,2023,52.5544,1000,19.0279,,,,,
22,2,2023,52.0666,1000,19.2062,,,,,
23,2,2023,52.0787,1000,19.2017,,,,,
24,2,2023,52.1252,1000,19.1846,,,,,
27,2,2023,51.9471,1000,19.2504,,,,,
28,2,2023,51.9826,1000,19.2372,,,,,
1,3,2023,52.3198,1000,19.1132,,,,,
2,3,2023,52.1887,1000,19.1612,,,,,
3,3,2023,52.5275,1000,19.0376,,,,,
6,3,2023,53.1254,1000,18.8234,,,,,
8,3,2023,53.181,1000,18.8037,,,,,
9,3,2023,52.9241,1000,18.895,,,,,
10,3,2023,52.5308,1000,19.0365,,,,,
