Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
1,8,2024,178.9522,2000,11.1762,,,,,
2,8,2024,177.4897,2000,11.2683,,,,,
5,8,2024,171.0839,2000,11.6902,,,,,
6,8,2024,170.703,2000,11.7163,,,,,
7,8,2024,174.3065,2000,11.474,,,,,
8,8,2024,172.9573,2000,11.5635,,,,,
9,8,2024,174.0744,2000,11.4893,,,,,
12,8,2024,174.2527,2000,11.4776,,,,,
13,8,2024,172.1791,2000,11.6158,,,,,
14,8,2024,170.7678,2000,11.7118,,,,,
16,8,2024,173.9962,2000,11.4945,,,,,
19,8,2024,175.2558,2000,11.4119,,,,,
20,8,2024,176.6148,2000,11.3241,,,,,
21,8,2024,178.2418,2000,11.2207,,,,,
22,8,2024,178.8274,2000,11.184,,,,,
23,8,2024,179.153,2000,11.1636,,,,,
26,8,2024,179.2994,2000,11.1545,,,,,
27,8,2024,180.3788,2000,11.0878,,,,,
28,8,2024,179.613,2000,11.1351,,,,,
29,8,2024,178.5471,2000,11.2015,,,,,
30,8,2024,180.0614,2000,11.1073,,,,,
2,9,2024,179.454,2000,11.1449,,,,,
3,9,2024,180.2132,2000,11.098,,,,,
4,9,2024,180.291,2000,11.0932,,,,,
5,9,2024,181.1476,2000,11.0407,,,,,
6,9,2024,179.7253,2000,11.1281,,,,,
9,9,2024,178.7433,2000,11.1892,,,,,
10,9,2024,180.5478,2000,11.0774,,,,,
11,9,2024,179.7283,2000,11.1279,,,,,
12,9,2024,181.2681,2000,11.0334,,,,,
13,9,2024,182.0662,2000,10.985,,,,,
16,9,2024,182.3184,2000,10.9698,,,,,
17,9,2024,182.2303,2000,10.9751,,,,,
18,9,2024,181.4633,2000,11.0215,,,,,
19,9,2024,180.0494,2000,11.1081,,,,,
20,9,2024,181.5777,2000,11.0146,,,,,
23,9,2024,183.0384,2000,10.9267,,,,,
24,9,2024,183.5336,2000,10.8972,,,,,
25,9,2024,182.625,2000,10.9514,,,,,
26,9,2024,181.8871,2000,10.9958,,,,,
27,9,2024,182.6247,2000,10.9514,,,,,
30,9,2024,182.1269,2000,10.9814,,,,,
1,10,2024,182.9586,2000,10.9314,,,,,
3,10,2024,179.6173,2000,11.1348,,,,,
4,10,2024,178.2702,2000,11.2189,,,,,
7,10,2024,173.8581,2000,11.5036,,,,,
8,10,2024,177.4851,2000,11.2686,,,,,
9,10,2024,179.5586,2000,11.1384,,,,,
10,10,2024,180.468,2000,11.0823,,,,,
11,10,2024,180.8805,2000,11.057,,,,,
14,10,2024,181.2402,2000,11.0351,,,,,
15,10,2024,183.0246,2000,10.9275,,,,,
16,10,2024,183.185,2000,10.9179,,,,,
17,10,2024,180.8404,2000,11.0595,,,,,
18,10,2024,180.9819,2000,11.0508,,,,,
21,10,2024,179.0014,2000,11.1731,,,,,
22,10,2024,173.4927,2000,11.5279,,,,,
23,10,2024,174.4852,2000,11.4623,,,,,
24,10,2024,173.5526,2000,11.5239,,,,,
25,10,2024,170.4461,2000,11.7339,,,,,
28,10,2024,171.6261,2000,11.6532,,,,,
29,10,2024,173.0505,2000,11.5573,,,,,
30,10,2024,174.3651,2000,11.4702,,,,,
31,10,2024,176.6872,2000,11.3194,,,,,
4,11,2024,175.5744,2000,11.3912,,,,,
5,11,2024,176.3258,2000,11.3426,,,,,
6,11,2024,179.3748,2000,11.1498,,,,,
7,11,2024,178.3956,2000,11.211,,,,,
8,11,2024,175.9357,2000,11.3678,,,,,
11,11,2024,174.1453,2000,11.4847,,,,,
12,11,2024,171.6583,2000,11.6511,,,,,
13,11,2024,167.0815,2000,11.9702,,,,,
14,11,2024,168.1167,2000,11.8965,,,,,
18,11,2024,167.259,2000,11.9575,,,,,
19,11,2024,169.0455,2000,11.8311,,,,,
21,11,2024,167.8224,2000,11.9174,,,,,
22,11,2024,169.075,2000,11.8291,,,,,
25,11,2024,171.7566,2000,11.6444,,,,,
